,score,sex,address,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,activities,nursery,higher,freetime,goout,health,err_free
0,30.0,F,U,4.0,4.0,at_home,teacher,course,mother,2.0,2.0,0.0,yes,no,yes,yes,3.0,4.0,3.0,True
1,30.0,F,U,1.0,1.0,at_home,other,course,father,1.0,2.0,0.0,no,no,no,yes,3.0,3.0,3.0,True
2,50.0,F,U,1.0,1.0,at_home,other,other,mother,1.0,2.0,3.0,yes,no,yes,yes,3.0,2.0,3.0,True
4,50.0,F,U,3.0,3.0,other,other,home,father,1.0,2.0,0.0,no,no,yes,yes,3.0,2.0,5.0,True
5,75.0,M,U,4.0,3.0,services,other,reputation,mother,1.0,2.0,0.0,no,yes,yes,yes,4.0,2.0,5.0,True
7,30.0,F,U,4.0,4.0,other,teacher,home,mother,2.0,2.0,0.0,yes,no,yes,yes,1.0,4.0,1.0,True
8,95.0,M,U,3.0,2.0,services,other,home,mother,1.0,2.0,0.0,no,no,yes,yes,2.0,2.0,1.0,True
9,75.0,M,U,3.0,4.0,other,other,home,mother,1.0,2.0,0.0,no,yes,yes,yes,5.0,1.0,5.0,True
10,45.0,F,U,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,no,no,yes,yes,3.0,3.0,2.0,True
11,60.0,F,U,2.0,4.0,services,other,reputation,father,3.0,3.0,0.0,no,yes,yes,yes,2.0,2.0,4.0,True
12,70.0,M,U,4.0,4.0,health,services,course,father,1.0,1.0,0.0,no,yes,yes,yes,3.0,3.0,5.0,True
13,55.0,M,U,4.0,3.0,teacher,other,course,mother,2.0,2.0,0.0,no,no,yes,yes,4.0,3.0,3.0,True
14,80.0,M,U,2.0,2.0,other,other,home,other,1.0,3.0,0.0,no,no,yes,yes,5.0,2.0,3.0,True
15,70.0,F,U,4.0,4.0,health,other,home,mother,1.0,1.0,0.0,no,no,yes,yes,4.0,4.0,2.0,True
16,70.0,F,U,4.0,4.0,services,services,reputation,mother,1.0,3.0,0.0,no,yes,yes,yes,2.0,3.0,2.0,True
18,25.0,M,U,3.0,2.0,services,services,course,mother,1.0,1.0,3.0,no,yes,yes,yes,5.0,5.0,5.0,True
19,50.0,M,U,4.0,3.0,health,other,home,father,1.0,1.0,0.0,no,yes,yes,yes,1.0,3.0,5.0,True
20,75.0,M,U,4.0,3.0,teacher,other,reputation,mother,1.0,2.0,0.0,no,no,yes,yes,4.0,1.0,1.0,True
23,60.0,M,U,2.0,2.0,other,other,reputation,mother,2.0,2.0,0.0,no,yes,yes,yes,4.0,4.0,5.0,True
25,40.0,F,U,2.0,2.0,services,services,home,mother,1.0,1.0,2.0,no,no,no,yes,2.0,2.0,5.0,True
28,55.0,M,U,3.0,4.0,services,other,home,mother,1.0,2.0,0.0,yes,yes,yes,yes,3.0,3.0,5.0,True
36,90.0,M,U,4.0,3.0,teacher,services,home,mother,1.0,3.0,0.0,no,yes,yes,yes,4.0,3.0,4.0,True
39,65.0,F,R,2.0,2.0,at_home,other,reputation,mother,1.0,1.0,0.0,yes,yes,yes,yes,3.0,1.0,2.0,True
40,55.0,F,U,2.0,2.0,other,other,home,mother,2.0,2.0,1.0,no,yes,no,yes,3.0,3.0,3.0,True
45,30.0,F,U,4.0,3.0,other,other,course,mother,1.0,2.0,0.0,yes,yes,yes,yes,2.0,2.0,5.0,True
50,65.0,F,U,2.0,2.0,services,services,course,mother,3.0,2.0,0.0,no,no,yes,yes,3.0,3.0,4.0,True
51,65.0,F,U,4.0,2.0,health,other,other,mother,1.0,2.0,0.0,no,no,yes,yes,3.0,3.0,5.0,True
56,75.0,F,U,4.0,3.0,services,services,reputation,mother,1.0,2.0,0.0,no,yes,yes,yes,3.0,2.0,1.0,True
61,55.0,F,U,1.0,1.0,services,services,course,father,4.0,1.0,0.0,yes,yes,no,yes,5.0,5.0,5.0,True
62,45.0,F,U,1.0,2.0,other,services,reputation,father,1.0,2.0,0.0,yes,yes,yes,yes,4.0,3.0,1.0,True
64,50.0,F,U,4.0,3.0,services,services,reputation,father,1.0,2.0,0.0,yes,yes,yes,yes,4.0,4.0,2.0,True
65,75.0,F,U,4.0,3.0,teacher,services,course,mother,3.0,2.0,0.0,no,yes,yes,yes,4.0,3.0,1.0,True
66,60.0,M,U,4.0,4.0,other,services,reputation,mother,1.0,4.0,0.0,no,yes,no,yes,3.0,3.0,3.0,True
69,80.0,F,R,3.0,1.0,other,other,reputation,father,2.0,4.0,0.0,no,no,no,yes,4.0,2.0,3.0,True
71,50.0,M,U,4.0,2.0,other,other,course,mother,1.0,4.0,0.0,no,no,yes,yes,3.0,3.0,3.0,True
72,25.0,F,R,1.0,1.0,other,other,reputation,mother,1.0,2.0,2.0,yes,no,no,yes,3.0,4.0,5.0,True
78,50.0,M,U,2.0,1.0,other,other,home,mother,2.0,1.0,3.0,yes,yes,yes,no,5.0,1.0,3.0,True
